Country,Total,NRI,PIO
Afghanistan,3749,3749,0
Albania,20,20,0
Algeria,450,447,3
Andorra,140,140,0
Angola,1500,1500,0
Antigua & Barbuda,630,20,610
Argentina,1400,300,1100
Armenia,450,445,5
Aruba,300,300,0
Australia,448430,213710,234720
Austria,25000,14000,11000
Azerbaijan,500,470,30
Bahamas,410,400,10
Bahrain,350000,350000,0
Bangladesh,10012,10000,12
Barbados,3330,330,3000
Belarus,602,600,2
Belgium,16000,6500,9500
Bolivia,182,182,0
Bosnia and Herzegovina,30,30,0
Botswana,11000,9000,2000
Brazil,1000,800,200
Brunei Darussalam,7047,7000,47
Bulgaria,250,250,0
Burkina Faso,155,155,0
Burundi,250,200,50
Cambodia,1500,1500,0
Canada,1000000,200000,800000
Cayman Islands,860,850,10
Chile,1200,350,850
China,67000,67000,0
China (Hong Kong),37250,23000,14250
China (Taiwan),2525,2500,25
Colombia,116,116,0
Comoros,300,50,250
Congo (Dem Rep of),4000,3600,400
Costa Rica,9,9,0
Cote dâ€™Ivore,470,470,0
Croatia,50,37,13
Cuba,20,3,17
Cyprus,4000,3900,100
Czech Republic,1050,1000,50
Denmark,6419,3927,2492
Djibouti,350,350,0
Dominica (Commonwealth of),530,30,500
Dominican Republic,10,3,7
East Timor,70,70,0
Ecuador,34,34,0
Egypt,3500,3300,200
El Salavador,25,24,1
Equatorial Guinea,100,100,0
Eritrea,500,500,0
Estonia,100,65,35
Ethiopia,994,992,2
Fiji,313798,800,312998
Finland,3500,2800,700
France,65000,10000,55000
France (Reunion Island),275200,200,275000
France (Guadeloupe St.Martinique),145000,0,145000
Gambia,600,600,0
Georgia,200,200,0
Germany,70500,42500,28000
Ghana,7100,6997,107
Greece,12100,12000,100
Grenada,5100,100,5000
Guatemala,24,21,3
Guinea (Republic of),253,253,0
Guinea Bissau,60,60,0
Guyana,320200,200,320000
Honduras,52,6,46
Hungary,350,30,320
Iceland,301,101,200
Indonesia,85000,15000,70000
Iran,1430,1430,0
Iraq,9000,8995,5
Ireland,19365,18018,1347
Israel,78200,8000,70000
Italy,71907,70652,1255
Jamaica,53500,3500,50000
Japan,22335,22335,0
Jordan,7000,6975,25
Kazakhstan,2550,2500,50
Kenya,75000,37500,37500
Kiribati,14,4,10
Korea (DPR),3,3,0
Korea (Republic of),6732,6721,11
Kuwait,579390,579058,332
Kyrgyzstan,2500,2500,0
Lao PDR,300,250,50
Latvia,40,40,0
Lebanon,10000,10000,0
Lesotho (Kingdom of),1200,800,400
Liberia,1496,1495,1
Libya,15000,14995,5
Liechtenstein (Principality of),3,3,0
Lithuania,80,71,9
Luxembourg,1000,500,500
Macedonia,10,10,0
Madagascar,22500,2500,20000
Malaysia,2050000,150000,1900000
Malawi,7000,1500,5500
Maldives,26001,26000,1
Mali,102,102,0
Malta,158,150,8
Marshall Islands (Republic of),15,14,1
Mauritania,20,20,0
Mauritius,882220,15000,867220
Micronesia,3,3,0
Moldova,18,15,3
Mongolia,60,60,0
Montserrat,210,10,200
Morocco,400,0,400
Mozambique,21000,1000,20000
Myanmar,356560,3160,353400
Namibia,160,140,20
Nauru,21,4,17
Nepal,600000,112500,487500
Netherlands,201000,6000,195000
Netherlands Antilles,4500,4500,0
New Zealand,107000,37000,70000
Nicaragua,16,15,1
Niger,40,40,0
Nigeria,30000,30000,0
Niue,3,3,0
Norway,12828,3479,9349
Oman,557713,556000,1713
Palau (Republic of),14,14,0
Palestine (PLO),81,80,1
Panama,6500,6500,0
Papua New Guinea,800,800,0
Paraguay,400,70,330
Peru,316,273,43
Philippines,50000,47000,3000
Poland,2100,1845,255
Portugal,80000,11272,68728
Qatar,500000,500000,0
Romania,948,878,70
Russian Federation,14200,14063,137
Rwanda,540,500,40
Samoa,70,40,30
Sao Tome and Principe (Republic of),3,3,0
Saudi Arabia,1789000,1789000,0
Senegal,300,300,0 
Serbia and Montenegro (State of),28,23,5
Seychelles,8500,4000,4500
Sierra Leone,529,529,0
Singapore,590000,270000,320000
Slovak Republic,80,35,45
Slovenia,46,34,12
Soloman Islands,20,20,0
South Africa,1218000,18000,1200000
Spain,30000,15000,15000
Sri Lanka,1600500,500,1600000
St. Kitts and Nevis,450,300,150
St. Lucia,5250,250,5000
St. Vincent & the Grenadines,3050,50,3000
Sudan,7000,5000,2000
Suriname,140300,300,140000
Swaziland,550,50,500
Sweden,18000,4000,14000
Switzerland,15577,7842,7735
Syria,650,635,15
Tajikistan,369,362,7
Tanzania,54700,5300,49400
Thailand,150000,90000,60000
Togo,302,302,0
Trinidad & Tobago,551500,1500,550000
Tunisia,112,107,5
Turkey,345,305,40
Turkmenistan,700,700,0
Turks & Caicos Islands,810,800,10
Uganda,20000,15000,5000
Ukraine,4000,3850,150
UAE,1702911,1700000,2911
UK,1500000,1500000,0
USA,2245239,927283,1317956
Uruguay,70,70,0
Uzbekistan,200,200,0
Vanuatu,50,50,0
Venezuela,200,200,0
Vietnam,780,750,30
Yemen,111000,11000,100000
Zambia,13000,5000,8000
Zimbabwe,10500,500,10000
